Date  ,Season  ,Composer: Work,Soloist / Instrument,Conductor  ,Orchestra  ,Venue  ,City
,,"Felix Mendelssohn :  Symphony No. 5 in D minor, Op. 107, ""Reformation""",,,,,
,,"George Henschel :  Serenade in Canon form for Strings, Op. 23: Excerpt(s)",(Mme.) Terese Liebe / Violin Theodore Liebe / Cello,,,,
,,Daniel-François-Esprit Auber :  Part du Diable: Overture,,,,,
1/27/1882,1881-82 Symphony Season,"Wolfgang Amadeus Mozart :  Masonic Funeral Music, K. 479a [477]",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Ludwig van Beethoven :  Concerto for Piano No. 5 in E-flat major, Op. 73, ""Emperor""",Carl Baermann / Piano,,,,
,,"Wolfgang Amadeus Mozart :  Serenade No. 8 in D major, for four orchestras, K. 269a [286], ""Notturno [Nocturne]""",,,,,
,,Wolfgang Amadeus Mozart :  Fantasy for Piano in C minor K. 475,Carl Baermann / Piano,,,,
,,"Joseph Rheinberger :  Ballad, for Piano Solo",Carl Baermann / Piano,,,,
,,"Franz Liszt :  Venezia e Napoli [Venice and Naples] for piano solo, S162: Excerpt(s)",Carl Baermann / Piano,,,,
,,"Wolfgang Amadeus Mozart :  Symphony No. 38 in D major, K. 504, ""Prague""",,,,,
1/28/1882,1881-82 Symphony Season,"Wolfgang Amadeus Mozart :  Masonic Funeral Music, K. 479a [477]",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Ludwig van Beethoven :  Concerto for Piano No. 5 in E-flat major, Op. 73, ""Emperor""",Carl Baermann / Piano,,,,
,,"Wolfgang Amadeus Mozart :  Serenade No. 8 in D major, for four orchestras, K. 269a [286], ""Notturno [Nocturne]""",,,,,
,,Wolfgang Amadeus Mozart :  Fantasy for Piano in C minor K. 475,Carl Baermann / Piano,,,,
,,"Joseph Rheinberger :  Ballad, for Piano Solo",Carl Baermann / Piano,,,,
,,"Franz Liszt :  Venezia e Napoli [Venice and Naples] for piano solo, S162: Excerpt(s)",Carl Baermann / Piano,,,,
,,"Wolfgang Amadeus Mozart :  Symphony No. 38 in D major, K. 504, ""Prague""",,,,,
2/3/1882,1881-82 Symphony Season,"Ludwig van Beethoven :  Symphony No. 7 in A major, Op. 92",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Wolfgang Amadeus Mozart :  Don Giovanni, K. 527: Act 2: Crudele? . . .Non mi dir (recit. and letter aria)",(Miss) Fanny Kellogg / Soprano,,,,
,,"Adolf Henselt :  Concerto for Piano in F minor, Op. 16",John A. Preston / Piano,,,,
,,"Anton Rubinstein :  Es blinkt der Thau [Dew It Shines], for voice and piano, Op. 72, No. 1",(Miss) Fanny Kellogg / Soprano,,,,
,,"George Henschel :  Sunny Beam (voice and piano), Op. 29, No. 5",(Miss) Fanny Kellogg / Soprano,,,,
,,Niels Gade :  Overture: in the Highlands (Im Hochlande),,,,,
2/4/1882,1881-82 Symphony Season,"Ludwig van Beethoven :  Symphony No. 7 in A major, Op. 92",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Wolfgang Amadeus Mozart :  Don Giovanni, K. 527: Act 2: Crudele? . . .Non mi dir (recit. and letter aria)",(Miss) Fanny Kellogg / Soprano,,,,
,,"Adolf Henselt :  Concerto for Piano in F minor, Op. 16",John A. Preston / Piano,,,,
,,"Anton Rubinstein :  Es blinkt der Thau [Dew It Shines], for voice and piano, Op. 72, No. 1",(Miss) Fanny Kellogg / Soprano,,,,
,,"George Henschel :  Sunny Beam (voice and piano), Op. 29, No. 5",(Miss) Fanny Kellogg / Soprano,,,,
,,Niels Gade :  Overture: in the Highlands (Im Hochlande),,,,,
2/8/1882,1881-82 Symphony Season,Niels Gade :  Overture: in the Highlands (Im Hochlande),,George Hcnschel.,Boston Symphony Orchestra,"Sanders Thr., Harvard Univ.","Cambridge, MA, U.S.A."
,,"Etienne-Nicolas Mehul :  Joseph and His Brethren: Recitative and Aria, ""Land of My Fathers""",Theodore J. Toedt / Tenor,,,,
,,"Ludwig van Beethoven :  Symphony No. 5 in C minor, Op. 67",,,,,
,,Anton Rubinstein :  Dream (Voice and Piano),Theodore J. Toedt / Tenor,,,,
,,"George Henschel :  Gypsy [Gipsy] Serenade, for voice and piano",Theodore J. Toedt / Tenor,,,,
,,Richard Wagner :  Meistersinger: Act I: Prelude,,,,,
2/10/1882,1881-82 Symphony Season,"Ludwig van Beethoven :  Coriolan: Overture, Op. 62",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Johannes Brahms :  Rhapsody (for alto, male chorus, and orchestra), Op. 53 (Alto Rhapsody)",(Miss) Mary H. How / Contralto,,,,
,,"Franz Schubert :  Symphony No. 8 in B minor, D.759, ""Unfinished""",,,,,
,,Léo Delibes :  Sylvia: Suite: (2) Intermezzo et Valse lente,,,,,
,,Léo Delibes :  Sylvia: Suite: (3) Pizzicati,,,,,
,,"Hector Berlioz :  Captive, Op. 12, with alto voice",(Miss) Mary H. How / Contralto,,,,
,,"Richard Wagner :  Meistersinger: Act 3: Prelude, Dance of the Apprentices, Procession",,,,,
,,"Richard Wagner :  Meistersinger: Act III: Homage to Hans Sachs, ""Wach auf""",,,,,
2/11/1882,1881-82 Symphony Season,"Ludwig van Beethoven :  Coriolan: Overture, Op. 62",,George Hcnschel.,Boston Symphony Orchestra,Boston Music Hall,"Boston, MA, U.S.A."
,,"Johannes Brahms :  Rhapsody (for alto, male chorus, and orchestra), Op. 53 (Alto Rhapsody)",(Miss) Mary H. How / Contralto,,,,
,,"Franz Schubert :  Symphony No. 8 in B minor, D.759, ""Unfinished""",,,,,
,,Léo Delibes :  Sylvia: Suite: (2) Intermezzo et Valse lente,,,,,
,,Léo Delibes :  Sylvia: Suite: (3) Pizzicati,,,,,
,,"Hector Berlioz :  Captive, Op. 12, with alto voice",(Miss) Mary H. How / Contralto,,,,
,,"Richard Wagner :  Meistersinger: Act 3: Prelude, Dance of the Apprentices, Procession",,,,,
